Date : 2024-11-25 11:16:20
Directory : c:\xampp\htdocs\GYM-UPC
Total : 117 files,  67925 codes, 2642 comments, 5948 blanks, all 76515 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         32 |     44,683 |        163 |      4,030 |     48,876 |
| JavaScript |         17 |     12,740 |      1,893 |      1,270 |     15,903 |
| PHP        |         64 |     10,393 |        586 |        643 |     11,622 |
| JSON       |          1 |         90 |          0 |          1 |         91 |
| Ini        |          2 |         14 |          0 |          0 |         14 |
| Markdown   |          1 |          5 |          0 |          4 |          9 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                    |        117 |     67,925 |      2,642 |      5,948 |     76,515 |
| . (Files)                                                            |          1 |        398 |          3 |         13 |        414 |
| boostrap                                                             |         23 |     53,204 |      1,951 |      4,520 |     59,675 |
| boostrap\Js                                                          |          6 |     12,239 |      1,835 |      1,205 |     15,279 |
| boostrap\css                                                         |         17 |     40,965 |        116 |      3,315 |     44,396 |
| css                                                                  |         15 |      3,718 |         47 |        715 |      4,480 |
| img                                                                  |          2 |         14 |          0 |          0 |         14 |
| img (Files)                                                          |          1 |          7 |          0 |          0 |          7 |
| img\logo                                                             |          1 |          7 |          0 |          0 |          7 |
| js                                                                   |         11 |        501 |         58 |         65 |        624 |
| js (Files)                                                           |          3 |         73 |          1 |          9 |         83 |
| js\Adm                                                               |          1 |         59 |          6 |          7 |         72 |
| js\instructor                                                        |          3 |        208 |         39 |         27 |        274 |
| js\usuarios                                                          |          4 |        161 |         12 |         22 |        195 |
| paginas                                                              |         24 |      7,751 |         29 |        319 |      8,099 |
| paginas\Administrador                                                |          7 |      2,167 |         15 |        109 |      2,291 |
| paginas\index                                                        |          3 |        444 |          6 |         46 |        496 |
| paginas\instructor                                                   |          3 |        881 |          3 |         39 |        923 |
| paginas\usuarios                                                     |          4 |      1,349 |          5 |         51 |      1,405 |
| paginas\view                                                         |          7 |      2,910 |          0 |         74 |      2,984 |
| php                                                                  |         29 |      1,637 |        176 |        162 |      1,975 |
| php (Files)                                                          |         22 |      1,405 |        137 |        118 |      1,660 |
| php\Adm                                                              |          4 |        115 |         25 |         31 |        171 |
| php\Instructor                                                       |          1 |         26 |          5 |          6 |         37 |
| php\index                                                            |          1 |         18 |          0 |          2 |         20 |
| php\usuario                                                          |          1 |         73 |          9 |          5 |         87 |
| vendor                                                               |         12 |        702 |        378 |        154 |      1,234 |
| vendor (Files)                                                       |          1 |         20 |          1 |          5 |         26 |
| vendor\composer                                                      |         10 |        677 |        377 |        145 |      1,199 |
| vendor\phpmailer                                                     |          1 |          5 |          0 |          4 |          9 |
| vendor\phpmailer\phpmailer                                           |          1 |          5 |          0 |          4 |          9 |
| vendor\phpmailer\phpmailer\docs                                      |          1 |          5 |          0 |          4 |          9 |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                             | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\GYM-UPC\boostrap\Js\bootstrap.bundle.js              | JavaScript |      5,064 |        655 |        596 |      6,315 |
| c:\xampp\htdocs\GYM-UPC\boostrap\Js\bootstrap.bundle.min.js          | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\GYM-UPC\boostrap\Js\bootstrap.esm.js                 | JavaScript |      3,568 |        578 |        302 |      4,448 |
| c:\xampp\htdocs\GYM-UPC\boostrap\Js\bootstrap.esm.min.js             | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\GYM-UPC\boostrap\Js\bootstrap.js                     | JavaScript |      3,604 |        584 |        307 |      4,495 |
| c:\xampp\htdocs\GYM-UPC\boostrap\Js\bootstrap.min.js                 | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-grid.css              | CSS        |      3,893 |          6 |        192 |      4,091 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-grid.min.css          | CSS        |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-grid.rtl.css          | CSS        |      3,886 |          6 |        192 |      4,084 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-grid.rtl.min.css      | CSS        |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-reboot.css            | CSS        |        518 |         14 |         65 |        597 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-reboot.min.css        | CSS        |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-reboot.rtl.css        | CSS        |        524 |          6 |         64 |        594 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-reboot.rtl.min.css    | CSS        |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-utilities.css         | CSS        |      4,891 |          8 |        503 |      5,402 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-utilities.min.css     | CSS        |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-utilities.rtl.css     | CSS        |      4,887 |          6 |        500 |      5,393 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-utilities.rtl.min.css | CSS        |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap.css                   | CSS        |     11,136 |         24 |        897 |     12,057 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap.min.css               | CSS        |          2 |          4 |          0 |          6 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap.rtl.css               | CSS        |     11,138 |          6 |        886 |     12,030 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap.rtl.min.css           | CSS        |          2 |          4 |          0 |          6 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\style.css                       | CSS        |         82 |          2 |         16 |        100 |
